COUNTRY,YEAR,Avg_Global_Temperature,Total_Global_Precipitation,Avg_Global_Evaporation,Avg_Global_Soil_Moisture,Production_MT,Crops_Tomatoes_Production_Ton,Crops_Wheat_Production_Ton
Australia,2011,25.57,1222.31,1.31,0.272,1291852.25,2881576.4,8909406.68
Australia,2012,7.64,1441.6,3.26,0.364,563827.41,756827.82,1044729.45
Australia,2013,27.51,1412.28,1.93,0.215,831205.35,3964828.23,7528898.2
Australia,2014,27.93,1445.81,5.68,0.526,925250.79,2015397.15,2525567.74
Australia,2015,5.7,1435.36,3.75,0.299,1277826.08,3192261.56,1785698.16
Australia,2016,10.37,513.4,4.66,0.518,180210.59,1236963.28,7145427.8
Australia,2017,11.9,238.85,4.93,0.474,1051269.26,369694.8,4812371.7
Australia,2018,28.49,287.23,3.28,0.168,1396522.5,875527.41,3186570.31
Australia,2019,7.61,239.99,4.49,0.286,774505.91,3684472.53,5536154.66
Australia,2020,13.73,307.68,2.35,0.15,489746.81,3919059.39,4994197.0
Australia,2021,24.66,772.74,4.93,0.359,1189227.64,1981400.52,6708366.03
Australia,2022,14.22,821.54,4.52,0.15,738901.75,3782706.04,3635200.49
Australia,2023,8.05,759.64,2.77,0.25,304456.3,1521031.16,2924007.13
Australia,2024,10.81,1084.43,4.7,0.44,1856454.94,1870056.87,7759347.51
India,2000,28.72,849.06,4.92,0.258,1091306.42,3551545.07,903221.86
India,2001,26.52,970.26,5.05,0.489,604971.38,2824727.98,8714520.37
India,2002,24.75,675.13,2.8,0.468,1828227.41,950232.77,5787270.52
India,2003,5.75,272.84,4.66,0.318,1758336.16,3684239.49,7535256.23
India,2004,26.34,505.69,1.76,0.377,465404.8,1460129.76,5614915.17
India,2005,4.78,908.3,2.77,0.267,1127985.89,2456245.68,1897016.96
India,2006,12.91,1410.97,3.87,0.397,1208270.48,1080414.24,1780945.19
India,2007,16.66,1395.53,4.72,0.442,111008.85,306593.13,1780628.83
India,2008,18.51,920.33,5.54,0.26,1084536.65,3523700.27,5927194.52
India,2009,25.15,1175.06,4.03,0.369,420321.02,3037252.41,5847061.28
India,2010,25.06,1392.31,5.11,0.329,980838.81,3961118.2,1154989.86
India,2011,16.51,508.77,2.24,0.421,995293.3,1288615.85,5796096.46
India,2012,16.55,619.37,2.86,0.295,1358442.21,3957235.43,6468337.05
India,2013,27.06,1216.52,4.58,0.175,1366660.65,1060563.41,4116352.52
India,2014,7.14,1391.46,5.46,0.366,276103.9,1081009.83,644610.54
India,2015,23.58,724.77,3.95,0.343,1787515.34,3122607.74,6740939.67
India,2016,29.9,1096.56,1.8,0.318,1052667.36,2293825.44,551869.2
India,2017,14.02,233.43,4.76,0.351,457646.44,3801318.53,7363848.43
India,2018,24.07,1254.72,4.1,0.23,151388.66,391385.67,3720075.11
India,2019,25.9,654.58,3.76,0.437,1042850.99,995721.3,7461394.68
India,2020,4.31,1238.91,2.25,0.349,1849244.7,906854.73,2236275.69
India,2021,11.79,1238.42,3.38,0.256,520992.04,2207381.26,2404044.42
India,2022,18.99,241.33,4.92,0.495,827946.78,3597676.4,1952432.32
India,2023,14.76,1369.09,2.89,0.186,1126341.83,3779039.14,3545199.46
India,2024,27.87,688.61,2.84,0.532,762488.43,3503408.08,1351659.14
Egypt,2000,24.296234567901223,642.6900000000003,4.781450617283952,0.4285802469135801,340093.0,6785640.0,6564053.0
Egypt,2001,24.25351851851852,568.6500000000001,4.773364197530861,0.4270061728395061,342864.0,6328720.0,6254583.0
Egypt,2002,24.268271604938292,664.6700000000001,4.769876543209874,0.4271913580246909,376296.0,6777875.0,6624868.0
Egypt,2003,24.41762345679012,657.9600000000006,4.810154320987655,0.4278703703703703,445181.0,7140198.0,6844692.0
Egypt,2004,24.261604938271603,522.4499999999998,4.765246913580246,0.4283950617283947,471535.0,7640818.0,7177855.0
Egypt,2005,24.42925925925925,615.9200000000003,4.798333333333336,0.4260493827160491,539748.0,7600000.0,8140960.0
Egypt,2006,24.44200617283952,615.1900000000002,4.8180246913580245,0.4268209876543211,595030.0,8576070.0,8274230.0
Egypt,2007,24.514135802469134,629.41,4.830246913580248,0.4257716049382717,635516.0,8639024.0,7379000.0
Egypt,2008,24.55817901234567,593.56,4.859629629629628,0.4227777777777775,693765.0,9204097.0,7977051.0
Egypt,2009,24.6296296296296,616.1200000000006,4.841203703703703,0.4260493827160492,705490.0,10278539.0,8522995.0
Egypt,2010,24.603734567901245,638.0499999999998,4.821975308641972,0.4276234567901233,919585.0,8544993.0,7177399.0
Egypt,2011,24.780895061728405,652.0899999999997,4.8295061728395074,0.4245679012345676,986820.0,8105263.0,8407126.0
Egypt,2012,24.81145061728393,639.8300000000003,4.866543209876543,0.4231790123456791,1017738.0,8625219.0,8795483.0
Egypt,2013,24.856327160493805,594.9000000000003,4.883271604938271,0.4243209876543211,1097544.0,8290551.0,9460200.0
Egypt,2014,24.92015432098764,605.8100000000001,4.865432098765436,0.4236728395061729,1137091.0,8288043.0,8800000.0
Egypt,2015,24.987932098765437,654.74,4.88382716049383,0.4238580246913577,1174831.0,7737827.0,9607736.0
Egypt,2016,25.070401234567893,628.7700000000001,4.884413580246916,0.4241666666666668,1370660.0,7320714.0,9342538.0
Egypt,2017,25.09672839506173,595.9200000000003,4.876790123456792,0.4241666666666668,1406864.5,6729004.0,8421071.0
Egypt,2018,24.93515432098766,632.9799999999996,4.886327160493828,0.4236111111111112,1594231.0,6777754.0,8348629.0
Egypt,2019,25.13222222222224,630.0600000000001,4.897777777777779,0.4230864197530863,1641949.0,6814460.0,8558807.0
Egypt,2020,25.1170061728395,621.6299999999998,4.866388888888886,0.4224074074074071,1591896.0,6493950.0,9101785.0
Egypt,2021,25.261759259259264,616.08,4.903950617283952,0.4187345679012343,1576189.4,6389295.0,9842410.95
Egypt,2022,25.245895061728383,642.7599999999995,4.947839506172841,0.4205864197530862,1552430.0,6367592.0,9622993.0
Egypt,2023,25.267222222222223,621.7299999999999,4.9041358024691375,0.4231172839506171,1552430.0,7115604.0,9065380.0
